

stn;time;tre200h0
BER;2018071217;24.3
BER;2018071218;23.4
BER;2018071219;21.7
BER;2018071220;19.2
BER;2018071221;17.1
BER;2018071222;14.4
BER;2018071223;13.5
BER;2018071300;12.8
BER;2018071301;12.4
BER;2018071302;11.5
BER;2018071303;11.5
BER;2018071304;11.6
BER;2018071305;11.6
BER;2018071306;13.9
BER;2018071307;17.2
BER;2018071308;19.1
BER;2018071309;21.2
BER;2018071310;22.6
BER;2018071311;24.6
BER;2018071312;25.7
BER;2018071313;27.0
BER;2018071314;27.5
BER;2018071315;27.5
BER;2018071316;27.8
BER;2018071317;26.8
BER;2018071318;25.6
BER;2018071319;23.2
BER;2018071320;20.1
BER;2018071321;19.0
BER;2018071322;18.5
BER;2018071323;17.5
BER;2018071400;16.7
BER;2018071401;15.8
BER;2018071402;15.8
BER;2018071403;15.0
BER;2018071404;14.0
BER;2018071405;14.6
BER;2018071406;17.0
BER;2018071407;19.5
BER;2018071408;21.1
BER;2018071409;22.9
BER;2018071410;25.1
BER;2018071411;26.5
BER;2018071412;26.8
BER;2018071413;28.1
BER;2018071414;28.9
BER;2018071415;28.9
BER;2018071416;27.7
BER;2018071417;27.0
BER;2018071418;25.8
BER;2018071419;22.3
BER;2018071420;20.6
BER;2018071421;19.4
BER;2018071422;17.7
BER;2018071423;17.3
BER;2018071500;16.6
BER;2018071501;16.6
BER;2018071502;16.8
BER;2018071503;16.6
BER;2018071504;16.1
BER;2018071505;15.4
BER;2018071506;17.1
BER;2018071507;18.3
BER;2018071508;19.9
BER;2018071509;21.3
BER;2018071510;23.1
BER;2018071511;25.1
BER;2018071512;26.9
BER;2018071513;27.9
BER;2018071514;28.1
BER;2018071515;27.2
BER;2018071516;25.0
BER;2018071517;23.3
BER;2018071518;20.6
BER;2018071519;18.5
BER;2018071520;17.4
BER;2018071521;16.4
BER;2018071522;16.0
BER;2018071523;15.5
BER;2018071600;14.9
BER;2018071601;14.0
BER;2018071602;13.4
BER;2018071603;12.7
BER;2018071604;13.9
BER;2018071605;14.0
BER;2018071606;15.0
BER;2018071607;16.6
BER;2018071608;18.4
BER;2018071609;20.6
BER;2018071610;22.9
BER;2018071611;24.4
BER;2018071612;25.7
BER;2018071613;26.4
BER;2018071614;27.1
BER;2018071615;27.2
BER;2018071616;27.3
BER;2018071617;26.9
BER;2018071618;25.3
BER;2018071619;23.8
BER;2018071620;19.5
BER;2018071621;17.6
BER;2018071622;16.2
BER;2018071623;16.4
BER;2018071700;16.2
BER;2018071701;14.6
BER;2018071702;13.8
BER;2018071703;13.7
BER;2018071704;13.9
BER;2018071705;13.7
BER;2018071706;16.2
BER;2018071707;19.0
BER;2018071708;21.7
BER;2018071709;23.6
BER;2018071710;24.8
BER;2018071711;25.2
BER;2018071712;24.6
BER;2018071713;25.8
BER;2018071714;26.0
BER;2018071715;24.6
BER;2018071716;25.8
BER;2018071717;24.2
BER;2018071718;22.8
BER;2018071719;18.9
BER;2018071720;16.4
BER;2018071721;16.1
BER;2018071722;15.0
BER;2018071723;14.3
BER;2018071800;14.1
BER;2018071801;14.0
BER;2018071802;13.8
BER;2018071803;13.2
BER;2018071804;12.8
BER;2018071805;13.0
BER;2018071806;15.3
BER;2018071807;17.7
BER;2018071808;19.4
BER;2018071809;21.5
BER;2018071810;23.4
BER;2018071811;25.0
BER;2018071812;26.0
BER;2018071813;27.0
BER;2018071814;27.7
BER;2018071815;28.0
BER;2018071816;28.1
BER;2018071817;27.9
BER;2018071818;27.0
BER;2018071819;24.9
BER;2018071820;21.7
BER;2018071821;20.3
BER;2018071822;17.5
BER;2018071823;16.4
BER;2018071900;17.9
BER;2018071901;17.2
BER;2018071902;16.0
BER;2018071903;17.0
BER;2018071904;15.9
BER;2018071905;15.6
BER;2018071906;17.3
BER;2018071907;19.3
BER;2018071908;20.9
BER;2018071909;22.0
BER;2018071910;23.4
BER;2018071911;25.2
BER;2018071912;26.8
BER;2018071913;27.8
BER;2018071914;28.1
BER;2018071915;28.3
BER;2018071916;28.7
BER;2018071917;28.5
BER;2018071918;27.3
BER;2018071919;25.9
BER;2018071920;23.6
BER;2018071921;21.0
BER;2018071922;19.1
BER;2018071923;17.6
BER;2018072000;16.8
BER;2018072001;15.8
BER;2018072002;16.3
BER;2018072003;15.9
BER;2018072004;15.3
BER;2018072005;15.4
BER;2018072006;17.4
BER;2018072007;20.4
BER;2018072008;22.4
BER;2018072009;24.3
BER;2018072010;25.4
BER;2018072011;27.3
BER;2018072012;26.8
BER;2018072013;25.1
BER;2018072014;24.0
BER;2018072015;22.4
BER;2018072016;20.4
BER;2018072017;20.8
BER;2018072018;20.6
BER;2018072019;18.3
BER;2018072020;17.3
BER;2018072021;17.2
BER;2018072022;16.9
BER;2018072023;16.4
BER;2018072100;16.3
BER;2018072101;15.9
BER;2018072102;16.2
BER;2018072103;15.7
BER;2018072104;15.1
BER;2018072105;15.3
BER;2018072106;16.0
BER;2018072107;16.4
BER;2018072108;16.4
BER;2018072109;16.9
BER;2018072110;17.7
BER;2018072111;18.6
BER;2018072112;18.9
BER;2018072113;18.2
BER;2018072114;19.7
BER;2018072115;20.3
BER;2018072116;19.9
BER;2018072117;20.0
BER;2018072118;19.6
BER;2018072119;18.7
BER;2018072120;17.9
BER;2018072121;16.9
BER;2018072122;17.5
BER;2018072123;17.2
BER;2018072200;16.5
BER;2018072201;16.6
BER;2018072202;16.2
BER;2018072203;15.7
BER;2018072204;15.5
BER;2018072205;14.5
BER;2018072206;15.4
BER;2018072207;17.9
BER;2018072208;19.7
BER;2018072209;19.5
BER;2018072210;20.3
BER;2018072211;21.5
BER;2018072212;23.1
BER;2018072213;23.9
BER;2018072214;24.1
BER;2018072215;24.3
BER;2018072216;24.9
BER;2018072217;24.5
BER;2018072218;24.0
BER;2018072219;22.3
BER;2018072220;21.0
BER;2018072221;19.7
BER;2018072222;19.2
